Items,Time-interval,Support in percent
like,"[[Timestamp('2020-07-24 23:48:00'), Timestamp('2020-08-04 07:53:00')], [Timestamp('2020-08-06 14:50:00'), Timestamp('2020-08-18 18:27:00')]]","[['2.42'], ['2.17']]"
positive,"[[Timestamp('2020-07-24 23:49:00'), Timestamp('2020-08-04 07:56:00')], [Timestamp('2020-08-06 14:51:00'), Timestamp('2020-08-18 18:26:00')]]","[['3.10'], ['2.30']]"
health,"[[Timestamp('2020-07-24 23:47:00'), Timestamp('2020-08-04 07:56:00')], [Timestamp('2020-08-06 14:48:00'), Timestamp('2020-08-18 18:26:00')]]","[['2.76'], ['3.02']]"
trump,"[[Timestamp('2020-07-24 23:47:00'), Timestamp('2020-08-04 07:54:00')]]",[['2.07']]
august,"[[Timestamp('2020-08-06 14:48:00'), Timestamp('2020-08-18 18:27:00')]]",[['2.20']]
july,"[[Timestamp('2020-07-24 23:48:00'), Timestamp('2020-08-04 07:53:00')]]",[['2.05']]
time,"[[Timestamp('2020-07-24 23:48:00'), Timestamp('2020-08-04 07:55:00')], [Timestamp('2020-08-06 14:48:00'), Timestamp('2020-08-18 18:27:00')]]","[['2.60'], ['2.60']]"
school,"[[Timestamp('2020-08-06 14:48:00'), Timestamp('2020-08-18 18:25:00')]]",[['2.06']]
mask,"[[Timestamp('2020-07-24 23:47:00'), Timestamp('2020-08-04 07:53:00')], [Timestamp('2020-08-06 14:48:00'), Timestamp('2020-08-18 18:26:00')]]","[['3.63'], ['2.94']]"
one,"[[Timestamp('2020-07-24 23:50:00'), Timestamp('2020-08-04 07:56:00')], [Timestamp('2020-08-06 14:48:00'), Timestamp('2020-08-18 18:27:00')]]","[['2.84'], ['2.87']]"
india,"[[Timestamp('2020-07-24 23:56:00'), Timestamp('2020-08-04 07:55:00')], [Timestamp('2020-08-06 14:49:00'), Timestamp('2020-08-18 18:21:00')]]","[['2.22'], ['2.13']]"
update,"[[Timestamp('2020-07-24 23:50:00'), Timestamp('2020-08-04 07:54:00')]]",[['2.04']]
number,"[[Timestamp('2020-07-24 23:50:00'), Timestamp('2020-08-04 07:56:00')]]",[['2.07']]
people,"[[Timestamp('2020-07-24 23:47:00'), Timestamp('2020-08-04 07:57:00')], [Timestamp('2020-08-06 14:48:00'), Timestamp('2020-08-18 18:27:00')]]","[['5.15'], ['4.89']]"
help,"[[Timestamp('2020-07-24 23:47:00'), Timestamp('2020-08-04 07:57:00')], [Timestamp('2020-08-06 14:48:00'), Timestamp('2020-08-18 18:26:00')]]","[['2.26'], ['2.29']]"
